Starting Epoch 0:
         3450224 function calls (3439917 primitive calls) in 9.604 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   119936    1.024    0.000    1.836    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      937    0.686    0.001    2.862    0.003 examples/cnn/train_cnn.py:37(augmentation)
     1874    0.656    0.000    0.656    0.000 {built-in method singa._singa_wrap.Tensor_ToHost}
    43110    0.433    0.000    1.452    0.000 /root/singa-hp8/build/python/singa/tensor.py:91(__init__)
    22488    0.408    0.000    0.408    0.000 {built-in method singa._singa_wrap.Axpy}
    63716    0.318    0.000    0.318    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1874    0.256    0.000    0.256    0.000 {method 'astype' of 'numpy.ndarray' objects}
     8433    0.254    0.000    1.361    0.000 /root/singa-hp8/build/python/singa/autograd.py:128(backward)
     7496    0.240    0.000    0.262    0.000 {built-in method singa._singa_wrap.Tensor___imul__}
    61842    0.210    0.000    0.616    0.000 /root/miniconda/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
    18748    0.187    0.000    0.187    0.000 {built-in method singa._singa_wrap.Tensor_SetFloatValue}
   132125    0.187    0.000    0.187    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:51(_swig_setattr_nondynamic)
    12181    0.157    0.000    1.238    0.000 /root/singa-hp8/build/python/singa/autograd.py:270(_do_forward)
     1874    0.148    0.000    0.153    0.000 {built-in method singa._singa_wrap.GpuConvBackwardx}
     1874    0.148    0.000    0.156    0.000 /root/miniconda/lib/python3.8/site-packages/numpy/lib/arraypad.py:299(_set_reflect_both)
     1874    0.144    0.000    0.151    0.000 {built-in method singa._singa_wrap.GpuConvForward}
    14992    0.140    0.000    0.182    0.000 {built-in method singa._singa_wrap.Tensor___isub__}
     5622    0.135    0.000    0.151    0.000 {built-in method singa._singa_wrap.Mult}
    43110    0.126    0.000    0.157    0.000 /root/singa-hp8/build/python/singa/autograd.py:239(__init__)
    24362    0.111    0.000    0.461    0.000 /root/singa-hp8/build/python/singa/autograd.py:303(<genexpr>)
    23433    0.104    0.000    0.376    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:532(__init__)
    23433    0.103    0.000    0.111    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:74(_swig_getattr)
    41228    0.099    0.000    0.209    0.000 {built-in method singa._singa_wrap.Tensor_device}
    61842    0.093    0.000    0.709    0.000 /root/miniconda/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2881(prod)
    30929    0.092    0.000    0.201    0.000 /root/singa-hp8/build/python/singa/autograd.py:350(__init__)
   132125    0.085    0.000    0.272    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:70(_swig_setattr)
    23433    0.084    0.000    0.084    0.000 {built-in method singa._singa_wrap.new_Tensor}
     1874    0.082    0.000    0.087    0.000 {built-in method singa._singa_wrap.GpuConvBackwardW}
    61842    0.074    0.000    0.858    0.000 <__array_function__ internals>:2(prod)
     7496    0.072    0.000    2.066    0.000 /root/singa-hp8/build/python/singa/opt.py:268(apply)
    78724    0.072    0.000    0.072    0.000 {method 'format' of 'str' objects}
   238967    0.071    0.000    0.071    0.000 {built-in method builtins.isinstance}
     6559    0.068    0.000    0.086    0.000 {built-in method singa._singa_wrap.Tensor_AsType}
66527/63716    0.067    0.000    1.124    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      937    0.067    0.000    0.088    0.000 /root/singa-hp8/build/python/singa/autograd.py:71(infer_dependency)
    90897    0.060    0.000    0.249    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:527(<lambda>)
   106818    0.058    0.000    0.058    0.000 {built-in method singa._singa_wrap.Device_id}
   106818    0.058    0.000    0.116    0.000 /root/singa-hp8/build/python/singa/singa_wrap.py:1402(id)
     7496    0.057    0.000    0.138    0.000 /root/singa-hp8/build/python/singa/opt.py:146(device_check)
    14992    0.053    0.000    1.150    0.000 /root/singa-hp8/build/python/singa/tensor.py:750(__rsub__)
